gene_id,gene_name,chr_hg38,PearsonR,MeanObs,StdObs,PrediXcanR,PearsonRfineTuned
ENSG00000136235,GPNMB,7,0.357,4.44,0.743,0.575776,0.488
ENSG00000136425,CIB2,15,0.534,2.48,0.365,0.565343,0.531
ENSG00000137185,ZSCAN9,6,0.275,2.56,0.257,,0.106
ENSG00000137563,GGH,8,0.285,2.61,0.339,0.39907,0.141
ENSG00000137944,KYAT3,1,0.202,3.2,0.499,0.746932,0.156
ENSG00000138031,ADCY3,2,0.338,5.48,0.233,0.521434,0.333
ENSG00000138381,ASNSD1,2,0.439,4.7,0.23,0.630373,-0.1
ENSG00000138449,SLC40A1,2,0.123,2.62,0.496,0.280696,0.096
ENSG00000139155,SLCO1C1,12,0.134,4.23,0.678,0.13955,0.063
ENSG00000139180,NDUFA9,12,0.12,5.54,0.182,0.167685,-0.033
ENSG00000139508,SLC46A3,13,0.162,3.57,0.255,,-0.208
ENSG00000140323,DISP2,15,0.156,5.77,0.308,0.447263,0.038
ENSG00000142082,SIRT3,11,0.222,4.9,0.19,0.204583,-0.082
ENSG00000145214,DGKQ,4,0.123,4.48,0.373,0.399687,0.134
ENSG00000145506,NKD2,5,0.157,1.68,0.571,0.346255,-0.057
ENSG00000148399,DPH7,9,0.137,4.05,0.304,,0.129
ENSG00000148690,FRA10AC1,10,0.425,5.01,0.36,0.701375,0.315
ENSG00000148824,MTG1,10,0.157,4.11,0.328,0.535263,0.027
ENSG00000149474,KAT14,20,0.136,4.4,0.192,,0.059
ENSG00000149499,EML3,11,0.113,4.23,0.418,,0.036
ENSG00000149503,INCENP,11,0.156,3.53,0.262,,0.131
ENSG00000149932,TMEM219,16,0.119,5.62,0.225,,0.113
ENSG00000150054,MPP7,10,0.146,3.08,0.377,,0.149
ENSG00000150403,TMCO3,13,0.234,4.46,0.232,0.227978,0.238
ENSG00000150893,FREM2,13,0.16,2.15,0.924,0.772929,-0.066
ENSG00000151470,C4orf33,4,0.2,2.64,0.28,0.405537,0.195
ENSG00000151892,GFRA1,10,0.231,4.73,0.494,0.482379,0.252
ENSG00000152240,HAUS1,18,0.28,1.48,0.33,0.238731,0.294
ENSG00000152348,ATG10,5,0.673,2.25,0.325,0.71608,0.635
ENSG00000152492,CCDC50,3,0.169,5.19,0.259,,0.123
ENSG00000153774,CFDP1,16,0.14,5.21,0.217,,0.118
ENSG00000153822,KCNJ16,17,0.12,3.66,0.665,,-0.126
ENSG00000154040,CABYR,18,0.181,2.56,0.316,0.282701,-0.213
ENSG00000154511,FAM69A,1,0.144,4.67,0.238,0.248839,0.149
ENSG00000154529,CNTNAP3B,9,0.246,3.89,0.591,0.428056,0.209
ENSG00000154548,SRSF12,6,0.259,3.06,0.273,0.256689,0.195
ENSG00000154945,ANKRD40,17,0.147,6.89,0.332,,0.078
ENSG00000155066,PROM2,2,0.176,1.76,0.443,0.219626,0.055
ENSG00000155093,PTPRN2,7,0.256,6.48,0.322,0.453555,0.173
ENSG00000155252,PI4K2A,10,0.122,5.37,0.206,,0.112
ENSG00000156171,DRAM2,1,0.384,3.16,0.295,0.584166,0.377
ENSG00000156218,ADAMTSL3,15,0.12,1.38,0.49,0.078452,0.021
ENSG00000156253,RWDD2B,21,0.592,2.9,0.454,0.817383,0.316
ENSG00000156587,UBE2L6,11,0.122,4.88,0.285,,0.132
ENSG00000156931,VPS8,3,0.139,5.49,0.168,0.26159,0.013
ENSG00000156990,RPUSD3,3,0.13,4.26,0.217,0.493949,0.079
ENSG00000157214,STEAP2,7,0.222,5.62,0.337,0.409626,-0.06
ENSG00000157259,GATAD1,7,0.193,4.96,0.231,0.297646,0.218
ENSG00000157326,DHRS4,14,0.114,2.9,0.286,,0.149
ENSG00000157800,SLC37A3,7,0.117,4.01,0.226,,0.059
ENSG00000157823,AP3S2,15,0.246,5.67,0.16,0.360761,-0.246
ENSG00000157851,DPYSL5,2,0.238,5.1,0.38,0.5747,-0.374
ENSG00000160194,NDUFV3,21,0.184,5.1,0.169,0.330507,0.03
ENSG00000160294,MCM3AP,21,0.191,5.98,0.144,0.349703,0.154
ENSG00000160323,ADAMTS13,9,0.136,3.35,0.432,0.336246,-0.149
ENSG00000160336,ZNF761,19,0.3,2.77,0.34,,0.287
ENSG00000160352,ZNF714,19,0.273,3.63,0.472,0.07474,0.272
ENSG00000160796,NBEAL2,3,0.208,3.89,0.435,0.319549,0.206
ENSG00000160999,SH2B2,7,0.211,1.87,0.504,0.380113,0.17
ENSG00000161179,YDJC,22,0.139,2.94,0.324,0.052265,0.12
ENSG00000161904,LEMD2,6,0.199,4.91,0.227,0.524425,0.057
ENSG00000162004,CCDC78,16,0.139,2.26,0.567,0.297538,0.123
ENSG00000162073,PAQR4,16,0.158,5.03,0.289,,0.168
ENSG00000163050,COQ8A,1,0.227,4.87,0.234,,0.124
ENSG00000163125,RPRD2,1,0.296,5.85,0.174,0.399142,-0.424
ENSG00000163131,CTSS,1,0.125,2.56,0.688,,0.107
ENSG00000163138,PACRGL,4,0.256,3.03,0.234,0.535912,0.227
ENSG00000163389,POGLUT1,3,0.179,3.19,0.249,0.434128,0.128
ENSG00000163597,SNHG16,17,0.536,3.95,0.301,,0.488
ENSG00000163607,GTPBP8,3,0.182,1.81,0.258,,0.051
ENSG00000164008,C1orf50,1,0.278,2.37,0.229,0.472501,0.436
ENSG00000164106,SCRG1,4,0.171,5.47,0.498,0.689146,0.464
ENSG00000164182,NDUFAF2,5,0.16,3.38,0.241,,0.177
ENSG00000164946,FREM1,9,0.185,1.27,0.607,0.262601,0.18
ENSG00000165046,LETM2,8,0.145,2.1,0.302,,0.14
ENSG00000165476,REEP3,10,0.124,4.27,0.422,,0.116
ENSG00000168393,DTYMK,2,0.256,2.36,0.301,0.348623,0.259
ENSG00000169715,MT1E,16,0.294,6.31,0.673,0.22945,0.295
ENSG00000169826,CSGALNACT2,10,0.4,3.87,0.266,0.544607,-0.048
ENSG00000169857,AVEN,15,0.176,2.23,0.311,,0.194
ENSG00000169914,OTUD3,1,0.171,4.48,0.301,0.557195,0.2
ENSG00000169918,OTUD7A,15,0.192,5.58,0.192,,0.189
ENSG00000169925,BRD3,9,0.31,5.47,0.226,0.255281,0.315
ENSG00000170074,FAM153A,5,0.123,4.38,0.742,0.669792,-0.045
ENSG00000170089,AC106795.1,5,0.124,3.05,0.631,,0.33
ENSG00000170275,CRTAP,3,0.206,6.42,0.261,,0.196
ENSG00000170889,RPS9,19,0.444,7.1,0.228,0.532166,0.433
ENSG00000170954,ZNF415,19,0.137,3.9,0.203,0.227994,0.019
ENSG00000171055,FEZ2,2,0.116,5.57,0.223,0.664528,-0.109
ENSG00000171298,GAA,17,0.118,4.96,0.337,0.436018,0.135
ENSG00000171368,TPPP,5,0.119,8.31,0.279,0.225692,-0.06
ENSG00000171763,SPATA5L1,15,0.303,1.86,0.302,0.383142,0.293
ENSG00000172113,NME6,3,0.155,2.46,0.228,0.22584,-0.189
ENSG00000172345,STARD5,15,0.141,1.85,0.486,,0.134
ENSG00000172346,CSDC2,22,0.146,3.93,0.519,0.666316,0.041
ENSG00000172661,WASHC2C,10,0.137,5.03,0.219,0.396459,0.128
ENSG00000172687,ZNF738,19,0.393,1.9,0.422,0.533302,-0.008
ENSG00000172794,RAB37,17,0.133,3.73,0.356,0.130244,0.161
ENSG00000172803,SNX32,11,0.263,4.7,0.482,0.576659,0.191
ENSG00000173660,UQCRH,1,0.131,6.43,0.273,,0.189
ENSG00000173852,DPY19L1,7,0.16,5.25,0.279,0.30166,-0.156
ENSG00000174032,SLC25A30,13,0.182,3.4,0.283,,0.143
ENSG00000174136,RGMB,5,0.237,4.84,0.255,,0.143
ENSG00000174177,CTU2,16,0.115,3.1,0.325,0.313783,0.015
ENSG00000174586,ZNF497,19,0.175,2.49,0.297,0.244837,-0.042
ENSG00000174705,SH3PXD2B,5,0.18,4.37,0.419,,-0.073
ENSG00000174963,ZIC4,3,0.142,2.05,0.52,,0.093
ENSG00000175147,TMEM51-AS1,1,0.128,1.73,0.547,,0.119
ENSG00000175287,PHYHD1,9,0.162,4.06,0.668,0.244517,0.132
ENSG00000175322,ZNF519,18,0.129,4.23,0.306,0.309212,0.146
ENSG00000175985,PLEKHD1,14,0.183,1.75,0.457,0.271429,0.194
ENSG00000177666,PNPLA2,11,0.291,5.07,0.347,0.574555,-0.013
ENSG00000177692,DNAJC28,21,0.143,1.78,0.324,0.074665,-0.071
ENSG00000177697,CD151,11,0.212,4.69,0.362,,0.189
ENSG00000177981,ASB8,12,0.127,4.98,0.168,0.246113,-0.161
ENSG00000178201,VN1R1,19,0.496,2.46,0.34,0.576791,0.412
ENSG00000178295,GEN1,2,0.259,2.13,0.402,,0.069
ENSG00000178952,TUFM,16,0.135,6.23,0.181,0.213415,0.028
ENSG00000179698,WDR97,8,0.378,2.42,0.847,0.722207,0.189
ENSG00000180011,ZADH2,18,0.185,5.44,0.189,,0.192
ENSG00000180113,TDRD6,6,0.246,2.63,0.435,0.483019,-0.112
ENSG00000180398,MCFD2,2,0.12,6.01,0.204,0.700866,0.053
ENSG00000180914,OXTR,3,0.244,2.37,0.904,0.576394,0.28
ENSG00000181444,ZNF467,7,0.18,1.9,0.517,0.333432,0.202
ENSG00000181585,TMIE,3,0.14,2.59,0.455,0.055706,0.152
ENSG00000181619,GPR135,14,0.2,2.17,0.307,,0.154
ENSG00000181625,SLX1B,16,0.117,2.07,0.969,,-0.003
ENSG00000181638,ZFP41,8,0.156,3.92,0.318,,0.15
ENSG00000181754,AMIGO1,1,0.137,5.5,0.223,,0.139
ENSG00000182118,FAM89A,1,0.311,2.33,0.609,0.665389,0.315
ENSG00000182551,ADI1,2,0.226,5.18,0.309,0.315848,0.187
ENSG00000182919,C11orf54,11,0.323,3.68,0.245,0.667644,-0.344
ENSG00000184117,NIPSNAP1,22,0.116,5.23,0.237,0.308295,0.088
ENSG00000184232,OAF,11,0.137,4.45,0.488,0.412354,0.14
ENSG00000184619,KRBA2,17,0.406,2.12,0.349,0.444989,0.402
ENSG00000184787,UBE2G2,21,0.211,5.82,0.175,0.210188,0.143
ENSG00000184923,NUTM2A,10,0.201,1.75,0.844,0.277903,0.138
ENSG00000184925,LCN12,9,0.189,1.97,0.723,0.402175,-0.149
ENSG00000185088,RPS27L,15,0.234,4.39,0.295,0.61386,0.33
ENSG00000185477,GPRIN3,4,0.194,3.37,0.357,,0.224
ENSG00000185619,PCGF3,4,0.2,5.56,0.189,0.321906,0.096
ENSG00000185730,ZNF696,8,0.177,2.49,0.248,,-0.116
ENSG00000185803,SLC52A2,8,0.184,3.11,0.327,,0.196
ENSG00000185875,THNSL1,10,0.147,3.44,0.279,0.110183,0.151
ENSG00000186088,GSAP,7,0.349,3.42,0.39,0.556519,0.268
ENSG00000186862,PDZD7,10,0.199,3.7,0.438,0.08064,0.119
ENSG00000186976,EFCAB6,22,0.185,1.78,0.404,,0.187
ENSG00000187837,HIST1H1C,6,0.24,2.97,0.665,,0.218
ENSG00000188186,LAMTOR4,7,0.121,5.16,0.241,,0.059
ENSG00000188312,CENPP,9,0.386,2.75,0.321,0.554278,0.031
ENSG00000188599,NPIPP1,16,0.367,4.3,0.462,,0.328
ENSG00000188613,NANOS1,10,0.208,1.84,0.495,,0.255
ENSG00000188878,FBF1,17,0.171,3.95,0.316,0.255266,0.135
ENSG00000189157,FAM47E,4,0.147,3.19,0.339,0.618218,0.248
ENSG00000189227,C15orf61,15,0.122,3.15,0.262,0.219969,-0.102
ENSG00000196247,ZNF107,7,0.302,2.17,0.404,0.355429,0.304
ENSG00000196284,SUPT3H,6,0.299,2.31,0.297,0.49229,0.191
ENSG00000196305,IARS,9,0.123,5.55,0.254,,-0.146
