gene_id,gene_name,chr_hg38,PearsonR,MeanObs,StdObs,PrediXcanR,PearsonRfineTuned
ENSG00000166275,BORCS7,10,-0.293,4.48,0.268,0.666821,-0.158
ENSG00000166394,CYB5R2,11,-0.116,2.4,0.579,,-0.035
ENSG00000166750,SLFN5,17,-0.199,3.19,0.413,0.444913,0.229
ENSG00000167272,POP5,12,-0.157,3.17,0.252,0.439494,-0.085
ENSG00000167325,RRM1,11,-0.128,3.73,0.24,0.420041,-0.247
ENSG00000167528,ZNF641,12,-0.204,4.51,0.235,,-0.225
ENSG00000168228,ZCCHC4,4,-0.131,1.93,0.282,,0.023
ENSG00000169884,WNT10B,12,-0.205,3.77,0.381,0.332291,-0.214
ENSG00000170632,ARMC10,7,-0.143,4.49,0.196,0.280416,-0.126
ENSG00000170786,SDR16C5,8,-0.116,1.83,0.548,0.119887,-0.074
ENSG00000170915,PAQR8,6,-0.184,6.77,0.412,0.39786,-0.108
ENSG00000170949,ZNF160,19,-0.121,4.62,0.223,,-0.16
ENSG00000171067,C11orf24,11,-0.101,3.1,0.257,,-0.116
ENSG00000171103,TRMT61B,2,-0.1,2.74,0.253,0.440507,-0.377
ENSG00000171130,ATP6V0E2,7,-0.162,7.32,0.338,0.534506,-0.08
ENSG00000171160,MORN4,10,-0.31,4.63,0.232,0.605311,-0.444
ENSG00000171502,COL24A1,1,-0.106,3.37,0.716,,0.035
ENSG00000171714,ANO5,11,-0.118,4.67,0.275,,-0.235
ENSG00000171759,PAH,12,-0.109,1.62,0.564,0.586238,-0.026
ENSG00000171772,SYCE1,10,-0.26,2.83,0.638,0.388331,-0.054
ENSG00000172167,MTBP,8,-0.112,1.44,0.512,0.374835,-0.166
ENSG00000172175,MALT1,18,-0.22,3.92,0.245,,-0.199
ENSG00000172269,DPAGT1,11,-0.093,3.85,0.229,,0.087
ENSG00000172500,FIBP,11,-0.178,5.2,0.283,0.338582,-0.098
ENSG00000172728,FUT10,8,-0.203,2.53,0.489,0.201445,0.205
ENSG00000172785,CBWD1,9,-0.388,3.61,0.352,0.436599,-0.304
ENSG00000173210,ABLIM3,5,-0.192,4.98,0.256,0.572851,-0.189
ENSG00000173214,MFSD4B,6,-0.155,3.03,0.276,,-0.056
ENSG00000173705,SUSD5,3,-0.14,3.78,0.317,0.356946,-0.082
ENSG00000173715,C11orf80,11,-0.252,3.19,0.363,0.418483,0.008
ENSG00000174080,CTSF,11,-0.099,6.34,0.227,0.13612,0.081
ENSG00000174165,ZDHHC24,11,-0.265,4.0,0.2,0.3487,-0.275
ENSG00000174720,LARP7,4,-0.16,5.0,0.249,,-0.168
ENSG00000174775,HRAS,11,-0.2,5.04,0.29,0.466932,-0.203
ENSG00000175279,CENPS,1,-0.123,1.89,0.295,7e-05,-0.156
ENSG00000175309,PHYKPL,5,-0.102,4.01,0.291,,0.023
ENSG00000175611,LINC00476,9,-0.198,2.33,0.279,,0.165
ENSG00000175701,LINC00116,2,-0.26,3.16,0.432,0.301098,-0.239
ENSG00000177595,PIDD1,11,-0.121,4.07,0.563,0.259883,-0.108
ENSG00000177663,IL17RA,22,-0.113,4.1,0.35,0.321672,-0.206
ENSG00000177683,THAP5,7,-0.091,4.47,0.227,0.147111,-0.064
ENSG00000179344,HLA-DQB1,6,-0.218,1.39,1.975,0.768274,0.355
ENSG00000179399,GPC5,13,-0.099,3.31,0.567,0.318619,-0.11
ENSG00000180104,EXOC3,5,-0.324,5.66,0.22,0.525453,0.104
ENSG00000180777,ANKRD30B,18,-0.088,1.77,0.732,0.073533,0.063
ENSG00000181523,SGSH,17,-0.157,3.62,0.404,,-0.088
ENSG00000181817,LSM10,1,-0.101,3.59,0.267,0.317787,-0.126
ENSG00000182149,IST1,16,-0.196,6.1,0.153,0.201742,-0.205
ENSG00000182165,TP53TG1,7,-0.131,1.71,0.281,0.156425,0.082
ENSG00000182362,YBEY,21,-0.426,2.21,0.411,0.603492,-0.405
ENSG00000182670,TTC3,21,-0.138,8.42,0.189,0.342748,-0.185
ENSG00000182923,CEP63,3,-0.18,4.51,0.157,0.199094,-0.197
ENSG00000183604,SMG1P5,16,-0.276,3.2,0.507,,-0.283
ENSG00000183605,SFXN4,10,-0.132,3.32,0.256,0.539299,-0.226
ENSG00000183891,TTC32,2,-0.29,1.49,0.437,0.526177,-0.253
ENSG00000184277,TM2D3,15,-0.163,5.38,0.238,0.282303,0.149
ENSG00000184313,MROH7,1,-0.087,3.69,0.617,0.326503,-0.069
ENSG00000184381,PLA2G6,22,-0.127,4.59,0.279,,0.131
ENSG00000184983,NDUFA6,22,-0.119,5.19,0.207,0.501836,-0.003
ENSG00000185015,CA13,8,-0.265,1.79,0.373,0.353453,-0.231
ENSG00000185019,UBOX5,20,-0.095,3.57,0.257,0.317781,0.202
ENSG00000185250,PPIL6,6,-0.197,2.5,0.304,0.109839,-0.156
ENSG00000185324,CDK10,16,-0.212,5.46,0.358,0.435475,0.061
ENSG00000185585,OLFML2A,9,-0.097,2.04,0.603,0.166335,0.01
ENSG00000185658,BRWD1,21,-0.091,6.56,0.2,,0.059
ENSG00000185904,LINC00839,10,-0.306,2.26,0.48,0.538465,-0.422
ENSG00000185988,PLK5,19,-0.088,1.66,0.62,,-0.054
ENSG00000186532,SMYD4,17,-0.113,3.73,0.166,-0.048437,0.019
ENSG00000186908,ZDHHC17,12,-0.154,5.78,0.216,-0.130672,0.16
ENSG00000186960,LINC01551,14,-0.125,1.94,0.409,,-0.186
ENSG00000187049,TMEM216,11,-0.247,2.75,0.304,0.367217,-0.137
ENSG00000187608,ISG15,1,-0.089,2.67,0.771,,-0.1
ENSG00000187741,FANCA,16,-0.137,1.9,0.387,0.106798,-0.15
ENSG00000188002,AC026412.1,5,-0.246,2.57,0.508,,-0.207
ENSG00000189077,TMEM120A,7,-0.094,4.16,0.212,,-0.099
ENSG00000189171,S100A13,1,-0.271,5.53,0.453,0.665527,-0.328
